seller_id,orders_count,items_sold,gross_revenue,delivered_orders,on_time_deliveries,seller_id,avg_review_score
710e3548e02bc1d2831dfc4f1b5b14d4,136,142,23979.11,137,131,710e3548e02bc1d2831dfc4f1b5b14d4,3.40
79ebd9a61bac3eaf882805ed4ecfa12a,136,143,15092.79,140,132,79ebd9a61bac3eaf882805ed4ecfa12a,4.01
00ee68308b45bc5e2660cd833c3f81cc,135,172,20260.00,172,158,00ee68308b45bc5e2660cd833c3f81cc,4.33
12b9676b00f60f3b700e83af21824c0e,135,135,26774.00,133,131,12b9676b00f60f3b700e83af21824c0e,4.51
ce27a3cc3c8cc1ea79d11e561e9bebb6,135,164,10682.65,151,148,ce27a3cc3c8cc1ea79d11e561e9bebb6,3.87
7722b1df1b0e383e000397b2c11e3e19,134,145,7094.09,144,140,7722b1df1b0e383e000397b2c11e3e19,4.22
0db783cfcd3b73998abc6e10e59a102f,132,137,9077.40,137,132,0db783cfcd3b73998abc6e10e59a102f,4.21
8a32e327fe2c1b3511609d81aaf9f042,132,180,6429.01,169,159,8a32e327fe2c1b3511609d81aaf9f042,3.78
76d5af76d0271110f9af36c92573f765,131,159,33461.60,155,142,76d5af76d0271110f9af36c92573f765,4.08
a3e9a2c700480d9bb01fba070ba80a0e,130,144,13440.80,143,129,a3e9a2c700480d9bb01fba070ba80a0e,4.01
e9d99831abad74458942f21e16f33f92,130,149,4922.48,149,134,e9d99831abad74458942f21e16f33f92,3.91
ef0ace09169ac090589d85746e3e036f,129,140,16223.30,139,128,ef0ace09169ac090589d85746e3e036f,4.34
01fdefa7697d26ad920e9e0346d4bd1b,129,131,14921.43,130,122,01fdefa7697d26ad920e9e0346d4bd1b,4.35
a673821011d0cec28146ea42f5ab767f,129,146,13863.69,141,125,a673821011d0cec28146ea42f5ab767f,3.89
aafe36600ce604f205b86b5084d3d767,129,131,9251.40,131,125,aafe36600ce604f205b86b5084d3d767,4.38
2e90cb1677d35cfe24eef47d441b7c87,127,137,13894.71,137,120,2e90cb1677d35cfe24eef47d441b7c87,4.04
6a8b085f816a1f75f92dbac6eb545f8f,127,135,6018.97,133,121,6a8b085f816a1f75f92dbac6eb545f8f,4.12
7008613ea464bad5cb9b83456e1e6a8f,127,156,7777.00,152,146,7008613ea464bad5cb9b83456e1e6a8f,4.28
c9c7905cffc4ef9ff9f113554423e671,127,139,10657.18,139,123,c9c7905cffc4ef9ff9f113554423e671,4.16
2c9e548be18521d1c43cde1c582c6de8,126,174,6109.44,171,142,2c9e548be18521d1c43cde1c582c6de8,3.92
59fb871bf6f4522a87ba567b42dafecf,126,128,21708.57,125,117,59fb871bf6f4522a87ba567b42dafecf,4.22
17a053fcb14bd219540cbde0df490be0,125,149,40703.14,148,136,17a053fcb14bd219540cbde0df490be0,4.21
59b22a78efb79a4797979612b885db36,125,133,27184.50,133,116,59b22a78efb79a4797979612b885db36,3.97
cd68562d3f44870c08922d380acae552,125,132,18569.70,129,103,cd68562d3f44870c08922d380acae552,3.84
080102cd0a76b09e0dcf55fcacc60e05,124,130,5716.78,128,123,080102cd0a76b09e0dcf55fcacc60e05,4.49
1e8b33f18b4f7598d87f5cbee2282cc2,123,140,17309.06,139,133,1e8b33f18b4f7598d87f5cbee2282cc2,4.28
c31eff8334d6b3047ed34bebd4d62c36,122,123,13191.50,121,104,c31eff8334d6b3047ed34bebd4d62c36,3.85
dd7ddc04e1b6c2c614352b383efe2d36,122,143,9178.51,142,121,dd7ddc04e1b6c2c614352b383efe2d36,3.76
e5a38146df062edaf55c38afa99e42dc,121,125,15360.07,124,113,e5a38146df062edaf55c38afa99e42dc,3.95
18a349e75d307f4b4cc646a691ed4216,121,148,8711.53,128,121,18a349e75d307f4b4cc646a691ed4216,3.39
229c3efbfb0ea2058de4ccdfbc3d784a,121,148,15744.00,145,142,229c3efbfb0ea2058de4ccdfbc3d784a,3.64
f80edd2c5aaa505cc4b0a3b219abf4b8,119,128,9108.20,125,117,f80edd2c5aaa505cc4b0a3b219abf4b8,4.08
f5a590cf36251cf1162ea35bef76fe84,117,122,53201.78,118,106,f5a590cf36251cf1162ea35bef76fe84,4.24
431af27f296bc6519d890aa5a05fdb11,117,125,13109.50,124,105,431af27f296bc6519d890aa5a05fdb11,3.78
bfd27a966d91cfaafdb25d076585f0da,117,118,19921.00,115,109,bfd27a966d91cfaafdb25d076585f0da,4.28
17ca9b9e9b9ef8fdb529001b49ebb50f,116,129,9754.83,128,125,17ca9b9e9b9ef8fdb529001b49ebb50f,4.02
640e21a7d01df7614a3b4923e990d40c,116,137,7598.88,136,127,640e21a7d01df7614a3b4923e990d40c,4.26
1ca7077d890b907f89be8c954a02686a,115,137,13341.57,127,102,1ca7077d890b907f89be8c954a02686a,2.20
1127b7f2594683f2510f1c2c834a486b,114,132,6851.33,128,120,1127b7f2594683f2510f1c2c834a486b,4.10
6c7d50c24b3ccd2fd83b44d8bb34e073,114,128,8699.34,126,124,6c7d50c24b3ccd2fd83b44d8bb34e073,4.39
c33847515fa6305ce6feb1e818569f13,114,128,15519.85,128,122,c33847515fa6305ce6feb1e818569f13,3.72
fc906263ca5083d09dce42fe02247800,114,119,4497.70,117,117,fc906263ca5083d09dce42fe02247800,4.36
1b4c3a6f53068f0b6944d2d005c9fc89,113,117,14760.30,115,108,1b4c3a6f53068f0b6944d2d005c9fc89,4.11
0adac9fbd9a2b63cccaac4f8756c1ca8,110,142,15960.95,134,127,0adac9fbd9a2b63cccaac4f8756c1ca8,3.89
289cdb325fb7e7f891c38608bf9e0962,110,126,13544.95,125,123,289cdb325fb7e7f891c38608bf9e0962,4.58
f4aba7c0bca51484c30ab7bdc34bcdd1,110,117,3009.79,115,107,f4aba7c0bca51484c30ab7bdc34bcdd1,3.90
febab0275244b9a49a623f0bd613ca2f,109,129,7272.42,126,121,febab0275244b9a49a623f0bd613ca2f,4.26
dbb9b48c841a0e39e21f98e1a6b2ec3e,108,118,7186.85,118,113,dbb9b48c841a0e39e21f98e1a6b2ec3e,4.20
dd2bdf855a9172734fbc3744021ae9b9,108,113,10816.70,110,104,dd2bdf855a9172734fbc3744021ae9b9,3.80
25e6ffe976bd75618accfe16cefcbd0d,108,117,11691.61,115,109,25e6ffe976bd75618accfe16cefcbd0d,4.38
70eea00b476a314817cefde4aad4f89a,108,114,31994.65,112,104,70eea00b476a314817cefde4aad4f89a,4.35
8c16d1f32a54d92897cc437244442e1b,108,118,5642.60,118,116,8c16d1f32a54d92897cc437244442e1b,4.33
612170e34b97004b3ba37eae81836b4c,107,110,23065.02,110,108,612170e34b97004b3ba37eae81836b4c,4.43
b1fc4f64df5a0e8b6913ab38803c57a9,107,121,7994.74,121,107,b1fc4f64df5a0e8b6913ab38803c57a9,3.78
8e6cc767478edae941d9bd9eb778d77a,106,114,6830.58,108,100,8e6cc767478edae941d9bd9eb778d77a,3.90
33a6f4b1e7cdc205511e76ba1b6e0186,105,126,10295.01,126,124,33a6f4b1e7cdc205511e76ba1b6e0186,4.36
aaed1309374718fdd995ee4c58c9dfcd,105,112,9376.95,111,108,aaed1309374718fdd995ee4c58c9dfcd,4.05
3b15288545f8928d3e65a8f949a28291,104,121,14061.79,118,110,3b15288545f8928d3e65a8f949a28291,3.85
42b729f859728f5079499127a9c2ef37,104,132,4118.86,131,118,42b729f859728f5079499127a9c2ef37,4.35
00fc707aaaad2d31347cf883cd2dfe10,103,135,12684.90,135,129,00fc707aaaad2d31347cf883cd2dfe10,3.74
ac3508719a1d8f5b7614b798f70af136,103,104,12775.84,101,98,ac3508719a1d8f5b7614b798f70af136,4.57
b2479f944e1b90cf8a5de1bbfde284d6,103,131,4752.51,129,110,b2479f944e1b90cf8a5de1bbfde284d6,3.29
4371b634e0efc0e22b09b52907d9d469,102,112,8194.00,111,103,4371b634e0efc0e22b09b52907d9d469,4.41
d94a40fd42351c259927028d163af842,101,110,13823.80,109,105,d94a40fd42351c259927028d163af842,4.10
282f23a9769b2690c5dda22e316f9941,99,110,6505.08,109,104,282f23a9769b2690c5dda22e316f9941,4.30
8444e55c1f13cd5c179851e5ca5ebd00,99,109,22873.21,102,91,8444e55c1f13cd5c179851e5ca5ebd00,3.07
5c243662ce92d84573bfaff24c3e3700,98,100,32862.02,100,97,5c243662ce92d84573bfaff24c3e3700,4.13
7ea5bfa6c340f58f8e71fc1f0412b0d6,98,104,11002.89,102,95,7ea5bfa6c340f58f8e71fc1f0412b0d6,4.08
80e6699fe29150b372a0c8a1ebf7dcc8,98,100,11441.56,98,94,80e6699fe29150b372a0c8a1ebf7dcc8,4.29
9d4db00d65d7760644ac0c14edb5fd86,98,100,9979.70,99,95,9d4db00d65d7760644ac0c14edb5fd86,4.52
a49928bcdf77c55c6d6e05e09a9b4ca5,98,106,8816.70,104,78,a49928bcdf77c55c6d6e05e09a9b4ca5,2.95
aac29b1b99776be73c3049939652091d,98,138,6755.91,131,119,aac29b1b99776be73c3049939652091d,3.94
ececbfcff9804a2d6b40f589df8eef2b,98,104,6792.40,103,93,ececbfcff9804a2d6b40f589df8eef2b,4.12
530ec6109d11eaaf87999465c6afee01,97,104,12983.81,101,100,530ec6109d11eaaf87999465c6afee01,4.22
729f06993dac8e860d4f02d7088ca48a,96,115,20485.08,113,102,729f06993dac8e860d4f02d7088ca48a,4.29
6973a06f484aacf400ece213dbf3d946,95,115,11011.05,108,90,6973a06f484aacf400ece213dbf3d946,3.53
8648b1e89e9b349e32d3741b30ec737e,95,103,7442.55,100,90,8648b1e89e9b349e32d3741b30ec737e,4.04
8a432f4e5b471f8da497d7dc517666e2,95,106,7555.00,106,99,8a432f4e5b471f8da497d7dc517666e2,4.20
